Date,Recorder,Map,Player1,Player2,Player3,Player4,vs,Player5,Player6,Player7,Player8,link
21.01.2024,(Гриша),Приход,Вадим,Ондрей,Ден,Бот,против,Сеньор,Гриша,Савва,Данил,https://youtu.be/PAFASFF4PK4
21.01.2024,(Ден),Приход,Вадим,Ондрей,Ден,Бот,против,Сеньор,Гриша,Савва,Данил,https://youtu.be/oe8NF9LeFzE
14.01.2024,(Гриша),Мрачный карнавал,Ваня,Ден,Савва,Джун,против,Сеньор,Данил,Вадим,Гриша,https://youtu.be/VkT60C9E2uE
14.01.2024,(Звуки Ден),Мрачный карнавал,Ваня,Ден,Савва,Джун,против,Сеньор,Данил,Вадим,Гриша,https://youtu.be/IuSB970ctTg
06.01.2024,(Гриша),Переход,Вадим,Юран,Ден,Бот,против,Миша,Гриша,Сеньор,Бот,https://youtu.be/APih0m7kEE4
06.01.2024,(Сеньор),Переход,Вадим,Юран,Ден,Бот,против,Миша,Гриша,Сеньор,Бот,https://youtu.be/CFYVxAi9guA
06.01.2024,(Сеньор),Смерть в воздухе,Вадим,Юран,Ден,Бот,против,Миша,Гриша,Сеньор,Бот,https://youtu.be/xDj_CSImWZc
06.01.2024,(Ден),Переход,Вадим,Юран,Ден,Бот,против,Миша,Гриша,Сеньор,Бот,https://youtu.be/lQnG0XCcRao
06.01.2024,(Ден),Смерть в воздухе,Вадим,Юран,Ден,Бот,против,Миша,Гриша,Сеньор,Бот,https://youtu.be/c_ep6V5VQFs
05.01.2024,(Сеньор),Вымерший центр,Ондрей,Ден,Вадим,Джун,против,Сеньор,Ваня,Гриша,Миша,https://youtu.be/R-sfJtMZ9s0
05.01.2024,(Сеньор),Нет милосердию,Вадим,Ден,Джун,Сеньор,против,Ваня,Гриша,Миша,Ондрей,https://youtu.be/4JescLovIn4
05.01.2024,(Гриша),Нет милосердию,Вадим,Ден,Джун,Сеньор,против,Ваня,Гриша,Миша,Ондрей,https://youtu.be/278GkifNVxU
05.01.2024,(Ден),Нет милосердию,Вадим,Ден,Джун,Сеньор,против,Ваня,Гриша,Миша,Ондрей,https://youtu.be/zBFQ3CFGIg4
05.01.2024,(Ден),Вымерший центр,Миша,Гриша,Ваня,Сеньор,против,Ден,Вадим,Джун,Ондрей,https://youtu.be/qXJBD8iW7o4
12.11.2023,(Сеньор),роковой полет,Данил,Ден,Сеньор,Ваня,против,Миша,Гриша,Вадим,Ондрей,https://youtu.be/LS2v3SmSpvs 
12.11.2023,(Сеньор),Мрачный карнавал,Данил,Ден,Гриша,Ондрей,против,Миша,Ваня,Вадим,Сеньор,https://youtu.be/Uq1I43z6j_c
12.11.2023,(Гриша),роковой полет,Данил,Ден,Сеньор,Ваня,против,Миша,Гриша,Вадим,Ондрей,https://youtu.be/Xn5kYmeXrdI
12.11.2023,(Ден),Мрачный карнавал,Данил,Ден,Гриша,Ондрей,против,Миша,Ваня,Вадим,Сеньор,https://youtu.be/GmtBIxeastI 
05.11.2023,(Гриша),Похоронный звон,Ден,Вадим,Миша,Сеньор,против,Гриша,Данил,Ваня,Бот,https://youtu.be/gwMwamap9bk
05.11.2023,(Ден),Похоронный звон,Ден,Миша,Сеньор,Вадим,против,Гриша,Ваня,Данил,Бот,https://youtu.be/CI8ReP1Xdtk
29.10.2023,(Гриша),жертва,Гриша,Ваня,Данил,Миша,против,Ден,Вадим,Юран,Ондрей,https://youtu.be/VZBU0jOea2Y
29.10.2023,(Гриша),жертва,Гриша,Ваня,Миша,Юран,против,Ден,Данил,Вадим,Ондрей,https://youtu.be/mE69AaQRN5A
22.10.2023,(Ден),Переход,Ден,Вадим,Юран,Бот,против,Гриша,Данил,Ондрей,Бот,https://youtu.be/2e_F8O0mTP4
22.10.2023,(Ден),Ливень,Сеньор,Ондрей,Гриша,Вадим,против,Ден,Юран,Данил,Бот,https://youtu.be/LvGG2024Dgw
08.10.2023,(Гриша),Вымерший центр,Сеньор,Вадим,Ден,Бот,против,Миша,Гриша,Юран,Бот,https://youtu.be/DNxZ3zkmZP0
01.10.2023,(Гриша),Приход,Ондрей,Ден,Юран,Бот,против,Вадим,Сеньор,Гриша,Бот,https://youtu.be/yLNjzF03mAg
01.10.2023,(Ден),Приход,Ондрей,Ден,Юран,Бот,против,Вадим,Сеньор,Гриша,Бот,https://youtu.be/AN1ChQW5bOQ
01.10.2023,(Ден),Нет милосердию,Ден,Ондрей,Вадим,Юран,против,Гриша,Сеньор,Миша,Бот,https://youtu.be/ISCdZv8NZek
12.08.2023,(Гриша),Мрачный карнавал,Вадим,Данил,Ден,Бот,против,Ваня,Гриша,Сеньор,Бот,https://youtu.be/DpZ-xUVHCg8
01.07.2023,(Гриша),Смерть в воздухе,Ден,Миша,Сеньор,Бот,против,Гриша,Ваня,Данил,Бот,https://youtu.be/MFSsnpW_bbE
01.07.2023,(Ден),Смерть в воздухе,Ден,Сеньор,Миша,Бот,против,Данил,Ваня,Гриша,Бот,https://youtu.be/ANnQ9Pwx_ws
01.07.2023,(Данил),Смерть в воздухе,Ден,Сеньор,Миша,Бот,против,Данил,Ваня,Гриша,Бот,https://youtu.be/M2MYZJX1KJ4
24.06.2023,(Сеньор),Нет милосердию,Ден,Миша,Данил,Савва,против,Ондрей,Вадим,Сеньор,Ваня,https://youtu.be/zyail4eKDAs
18.06.2023,(Данил),Переход,Ден,Вадим,Сеньор,Ондрей,против,Гриша,Ваня,Данил,Джун,https://youtu.be/Ma0kDBMqOpw
18.06.2023,(Данил),Ливень,Гриша,Ден,Сеньор,Ондрей,против,Ваня,Данил,Вадим,Бот,https://youtu.be/aiOisntrCDs
18.06.2023,(Гриша),Переход,Ден,Вадим,Сеньор,Ондрей,против,Гриша,Ваня,Данил,Джун,https://youtu.be/A2dHWGhe12Q
18.06.2023,(Гриша),Ливень,Гриша,Ден,Сеньор,Ондрей,против,Ваня,Данил,Вадим,Бот,https://youtu.be/ImJEfyVu_uI
18.06.2023,(Ден),Переход,Сеньор,Ондрей,Вадим,Ден,против,Данил,Ваня,Гриша,Джун,https://youtu.be/JFTGW7uMDQI
12.06.2023,(Сеньор),Мрачный карнавал,Ден,Ондрей,Сеньор,Вадим,против,Гриша,Ваня,Данил,Джун,https://youtu.be/In5DiiUBUJ0
12.06.2023,(Гриша),Мрачный карнавал,Ден,Ондрей,Сеньор,Вадим,против,Гриша,Ваня,Данил,Джун,https://youtu.be/KgyZx9No3h4
03.06.2023,(Сеньор),Вымерший центр,Ден,Сеньор,Вадим,Ондрей,против,Гриша,Ваня,Данил,Бот,https://youtu.be/z-ZKJK0WPSU
03.06.2023,(Сеньор),Похоронный звон,Ден,Данил,Вадим,Ондрей,против,Гриша,Ваня,Сеньор,Бот,https://youtu.be/DnH2GEJa3qo 
03.06.2023,(Гриша),Вымерший центр,Ден,Сеньор,Вадим,Ондрей,против,Гриша,Ваня,Данил,Бот,https://youtu.be/CGAfsG4RQS8
03.06.2023,(Гриша),Похоронный звон,Ден,Данил,Вадим,Ондрей,против,Гриша,Ваня,Сеньор,Бот,https://youtu.be/2LYDnU0W93A
03.06.2023,(Ден),Похоронный звон,Ден,Данил,Вадим,Ондрей,против,Гриша,Ваня,Бот,Сеньор,https://youtu.be/lSZGvtM5Zaw
28.05.2023,(Сеньор),Кровавая жатва,Данил,Гриша,Ваня,Бот,против,Сеньор,Вадим,Ден,Ондрей,https://youtu.be/OAvOeX2QHuU
28.05.2023,(Гриша),роковой полет,Гриша,Данил,Ден,Бот,против,Сеньор,Вадим,Ваня,Ондрей,https://youtu.be/_ilvhD8SJTc
28.05.2023,(Гриша),Кровавая жатва,Данил,Гриша,Ваня,Бот,против,Сеньор,Вадим,Ден,Ондрей,https://youtu.be/ABlXgzr22ec
21.05.2023,(Сеньор),Приход,Ваня,Вадим,Сеньор,Бот,против,Ден,Гриша,Данил,Бот,https://youtu.be/cal3sG61ZZc
21.05.2023,(Гриша),Приход,Ваня,Вадим,Сеньор,Бот,против,Ден,Гриша,Данил,Бот,https://youtu.be/aeNjUpJu-6c
21.05.2023,(Ден),Приход,Ден,Данил,Гриша,Бот,против,Вадим,Ваня,Сеньор,Бот,https://youtu.be/-nGLO4NYcf4
20.05.2023,(Сеньор),Холодный ручей,Ден,Сеньор,Вадим,Ондрей,против,Данил,Гриша,Ваня,Бот,https://youtu.be/rM2_hDQgKuk 
20.05.2023,(Гриша),Холодный ручей,Ден,Вадим,Сеньор,Ондрей,против,Ваня,Гриша,Данил,Бот,https://youtu.be/XF0h9bmmhPs
20.05.2023,(Гриша),Смерть в воздухе,Ден,Вадим,Сеньор,Ондрей,против,Ваня,Гриша,Данил,Савва,https://youtu.be/Glt0HR5mldg
20.05.2023,(Ден),Холодный ручей,Ден,Сеньор,Вадим,Ондрей,против,Данил,Гриша,Ваня,Бот,https://youtu.be/0zOeEb8MVnE
20.05.2023,(Ден),Смерть в воздухе,Ден,Сеньор,Вадим,Ондрей,против,Данил,Гриша,Ваня,Савва,https://youtu.be/l1GYH_2Lllw
13.05.2023,(Гриша),Нет милосердию,Ден,Вадим,Сеньор,Бот,против,Ваня,Гриша,Данил,Савва,https://youtu.be/GlxWd_q9KiQ
13.05.2023,(Ден),Нет милосердию,Сеньор,Вадим,Ден,Бот,против,Данил,Гриша,Ваня,Савва,https://youtu.be/FXiVI47Rmn0
07.05.2023,(Гриша),Переход,Сеньор,Миша,Ондрей,Бот,против,Гриша,Вадим,Ваня,Бот,https://youtu.be/cL1LSdLivoQ
07.05.2023,(Сеньор),Переход,Сеньор,Миша,Ондрей,Бот,против,Гриша,Вадим,Ваня,Бот,https://youtu.be/PExvJuU3zdk
01.04.2023,(Данил),Приход,Ден,Гриша,Вадим,Джун,против,Ваня,Данил,Ондрей,Миша,https://youtu.be/A89Qg2mszBo
01.04.2023,(Ден),Приход,Ден,Гриша,Вадим,Джун,против,Ваня,Данил,Ондрей,Миша,https://youtu.be/KxMeQjgdfPg
31.03.2023,(Сеньор),Смерть в воздухе,Сеньор,Гриша,Ваня,Данил,против,Ден,Вадим,Миша,Джун,https://youtu.be/ljgksGH_3to
31.03.2023,(Ден),Смерть в воздухе,Сеньор,Гриша,Ваня,Данил,против,Ден,Вадим,Миша,Джун,https://youtu.be/8HALqEJVy2E 
31.03.2023,(Сеньор),Похоронный звон,Сеньор,Ден,Вадим,Джун,против,Гриша,Миша,Данил,Ваня,https://youtu.be/wn-KuKeIlm4 
31.03.2023,(Ден),Похоронный звон,Сеньор,Ден,Вадим,Джун,против,Гриша,Миша,Данил,Ваня,https://youtu.be/ai1KInvTwUc
26.03.2023,(Ден),Мрачный карнавал,Данил,Ваня,Гриша,Савва,против,Ден,Вадим,Миша,Ондрей,https://youtu.be/Ja3yts2LOcQ
26.03.2023,(Ден),Болотная лихорадка,Данил,Ваня,Гриша,Савва,против,Ден,Вадим,Миша,Ондрей,https://youtu.be/HfDiIYytrwg
25.03.2023,(Ден),Вымерший центр,Джун,Ден,Миша,Вадим,против,Савва,Ваня,Гриша,Данил,https://youtu.be/7qkMYFUSnbo
