Player,Games,Wins,Winrate
Гриша,23,15,0.65
Сеньор,22,14,0.64
Миша,20,12,0.6
Ваня,19,11,0.58
Бот,7,4,0.57
Джун,8,4,0.5
Данил,17,8,0.47
Ондрей,12,5,0.42
Вадим,25,10,0.4
Юран,10,4,0.4
Ден,18,6,0.33
Савва,11,3,0.27
