Date,Recorder,Map,Player1,Player2,Player3,Player4,vs,Player5,Player6,Player7,Player8,link
2023-06-03,(Сеньор),вымерший центр,Ден,Сеньор,Вадим,Ондрей,против,Гриша,Ваня,Данил,Бот,https://youtu.be/z-ZKJK0WPSU
2023-06-03,(Сеньор),похоронный звон,Ден,Данил,Вадим,Ондрей,против,Гриша,Ваня,Сеньор,Бот,https://youtu.be/DnH2GEJa3qo 
2023-05-28,(Сеньор),кровавая жатва,Данил,Гриша,Ваня,Бот,против,Сеньор,Вадим,Ден,Ондрей,https://youtu.be/OAvOeX2QHuU
2023-05-28,(Гриша),роковой полет,Гриша,Данил,Ден,Бот,против,Сеньор,Вадим,Ваня,Ондрей,https://youtu.be/_ilvhD8SJTc
2023-05-21,(Сеньор),приход,Ваня,Вадим,Сеньор,Бот,против,Ден,Гриша,Данил,Бот,https://youtu.be/cal3sG61ZZc
2023-05-20,(Сеньор),холодный ручей,Ден,Сеньор,Вадим,Ондрей,против,Данил,Гриша,Ваня,Бот,https://youtu.be/rM2_hDQgKuk 
2023-05-20,(Гриша),смерть в воздухе,Ден,Вадим,Сеньор,Ондрей,против,Ваня,Гриша,Данил,Савва,https://youtu.be/Glt0HR5mldg
2023-05-13,(Гриша),нет милосердию,Ден,Вадим,Сеньор,Бот,против,Ваня,Гриша,Данил,Савва,https://youtu.be/GlxWd_q9KiQ
2023-05-07,(Гриша),переход,Сеньор,Миша,Ондрей,Бот,против,Гриша,Вадим,Ваня,Бот,https://youtu.be/cL1LSdLivoQ
2023-04-01,(Данил),приход,Ден,Гриша,Вадим,Джун,против,Ваня,Данил,Ондрей,Миша,https://youtu.be/A89Qg2mszBo
2023-03-31,(Сеньор),смерть в воздухе,Сеньор,Гриша,Ваня,Данил,против,Ден,Вадим,Миша,Джун,https://youtu.be/ljgksGH_3to
2023-03-31,(Сеньор),похоронный звон,Сеньор,Ден,Вадим,Джун,против,Гриша,Миша,Данил,Ваня,https://youtu.be/wn-KuKeIlm4 
2023-03-26,(Ден),мрачный карнавал,Данил,Ваня,Гриша,Савва,против,Ден,Вадим,Миша,Ондрей,https://youtu.be/Ja3yts2LOcQ
2023-03-26,(Ден),болотная лихорадка,Данил,Ваня,Гриша,Савва,против,Ден,Вадим,Миша,Ондрей,https://youtu.be/HfDiIYytrwg
2023-03-25,(Ден),вымерший центр,Джун,Ден,Миша,Вадим,против,Савва,Ваня,Гриша,Данил,https://youtu.be/7qkMYFUSnbo
2023-03-25,(Ден),холодный ручей,Ондрей/Джун,Ден,Миша,Вадим,против,Савва,Ваня,Гриша,Данил,https://youtu.be/-PfYPLxWuVk
2023-03-19,(Ден),переход,Сеньор,Миша,Ден,Вадим,против,Гриша,Ваня,Данил,Бот,https://youtu.be/ZrrSt6cgHro
2023-03-19,(Ден),приход,Данил,Гриша,Ваня,Бот,против,Ден,Миша,Вадим,Сеньор,https://youtu.be/aM-spVjQobY
2023-03-19,(Данил),жертва,Миша,Сеньор,Вадим,Ден,против,Гриша,Ваня,Данил,Савва,https://youtu.be/2Y2W22XO5kU
2023-03-12,(Ден),похоронный звон,Данил,Гриша,Ваня,Джун,против,Ден,Миша,Вадим,Сеньор,https://youtu.be/a9ietK7YHTo
